City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,East London,ZA,2022-09-27 23:31:23,-33.0153,27.9116,68.56,93,100,23.42
68,Santa Cruz De La Palma,ES,2022-09-27 23:31:24,28.6835,-17.7642,74.14,73,0,10.36
69,Parfino,RU,2022-09-27 23:31:24,57.9731,31.6481,40.5,96,25,5.23
70,Grand Gaube,MU,2022-09-27 23:31:24,-20.0064,57.6608,71.38,59,51,7.0
71,Cape Town,ZA,2022-09-27 23:27:05,-33.9258,18.4232,56.12,83,0,2.3
72,Coahuayana,MX,2022-09-27 23:31:25,18.7333,-103.6833,80.38,88,100,3.06
73,Esperance,AU,2022-09-27 23:31:26,-33.8667,121.9,57.22,64,1,10.71
74,Upernavik,GL,2022-09-27 23:31:26,72.7868,-56.1549,33.69,100,100,4.03
75,Dawlatabad,AF,2022-09-27 23:31:27,36.4141,64.9053,63.05,25,0,2.44
76,Thompson,CA,2022-09-27 23:31:27,55.7435,-97.8558,57.36,51,40,8.05
77,Butaritari,KI,2022-09-27 23:30:19,3.0707,172.7902,81.95,75,63,16.17
78,Gewane,ET,2022-09-27 23:31:28,10.1664,40.6453,82.08,46,54,2.8
79,Waipawa,NZ,2022-09-27 23:31:28,-41.4122,175.5153,59.2,57,81,7.43
80,Sambava,MG,2022-09-27 23:31:29,-14.2667,50.1667,66.58,87,60,10.65
81,Georgetown,MY,2022-09-27 23:30:52,5.4112,100.3354,79.9,89,40,3.44
82,Bengkulu,ID,2022-09-27 23:31:30,-3.8004,102.2655,75.4,88,85,3.67
83,Bud,US,2022-09-27 23:31:31,39.447,-86.1758,62.55,45,13,9.66
84,Port Macquarie,AU,2022-09-27 23:30:03,-31.4333,152.9167,72.9,94,40,4.61
85,Provideniya,RU,2022-09-27 23:31:32,64.3833,-173.3,39.36,81,75,11.18
86,Finote Selam,ET,2022-09-27 23:31:32,10.7,37.2667,54.16,93,38,3.83
87,Torbat-E Jam,IR,2022-09-27 23:31:33,35.244,60.6225,61.99,34,0,9.22
88,Umea,SE,2022-09-27 23:31:34,63.8284,20.2597,46.33,100,0,5.75
89,Norman Wells,CA,2022-09-27 23:31:35,65.282,-126.8329,48.24,61,20,8.05
90,Hithadhoo,MV,2022-09-27 23:31:30,-0.6,73.0833,78.84,81,100,13.96
91,Abu Dhabi,AE,2022-09-27 23:29:24,24.4667,54.3667,87.91,76,20,9.22
92,Valparaiso,CL,2022-09-27 23:28:11,-33.0393,-71.6273,59.47,90,0,10.36
93,Cockburn Town,TC,2022-09-27 23:32:38,21.4612,-71.1419,82.42,81,36,20.22
94,Bambous Virieux,MU,2022-09-27 23:32:38,-20.3428,57.7575,71.22,64,40,11.5
95,Sibu,MY,2022-09-27 23:32:39,2.3,111.8167,73.71,100,40,2.3
96,Barrow,US,2022-09-27 23:31:37,71.2906,-156.7887,32.02,74,75,12.66
97,Uinskoye,RU,2022-09-27 23:32:40,56.8817,56.5813,26.1,91,100,4.36
98,Faanui,PF,2022-09-27 23:31:24,-16.4833,-151.75,78.01,75,3,11.83
